DATE,TIME,OPEN,HIGH,LOW,CLOSE
2024.09.09,05:00:00,2497.64,2499.01,2496.92,2498.57
2024.09.09,05:15:00,2498.58,2498.66,2496.93,2497.45
2024.09.09,05:30:00,2497.44,2498.85,2497.03,2498.6
2024.09.09,05:45:00,2498.62,2499.06,2496.92,2497.14
2024.09.09,06:00:00,2497.14,2498.35,2496.65,2498.22
2024.09.09,06:15:00,2498.21,2498.48,2497.52,2497.89
2024.09.09,06:30:00,2497.85,2499.44,2497.6,2499.31
2024.09.09,06:45:00,2499.31,2500.31,2498.87,2499.19
2024.09.09,07:00:00,2499.2,2499.34,2498.58,2498.76
2024.09.09,07:15:00,2498.76,2499.01,2498.47,2498.65
2024.09.09,07:30:00,2498.65,2498.77,2497.4,2497.83
2024.09.09,07:45:00,2497.83,2498.52,2497.64,2498.13
2024.09.09,08:00:00,2498.12,2498.21,2496.57,2496.63
2024.09.09,08:15:00,2496.62,2497.37,2496.57,2496.92
2024.09.09,08:30:00,2496.92,2497.0,2490.53,2490.72
2024.09.09,08:45:00,2490.72,2491.68,2487.4,2487.82
2024.09.09,09:00:00,2487.82,2490.85,2487.18,2489.39
2024.09.09,09:15:00,2489.4,2489.92,2485.83,2486.34
2024.09.09,09:30:00,2486.29,2493.49,2485.44,2492.23
2024.09.09,09:45:00,2492.24,2492.28,2489.14,2489.65
2024.09.09,10:00:00,2489.66,2490.75,2488.79,2489.58
2024.09.09,10:15:00,2489.56,2494.9,2488.77,2493.49
2024.09.09,10:30:00,2493.46,2496.6,2492.42,2493.95
2024.09.09,10:45:00,2493.98,2495.14,2490.92,2494.09
2024.09.09,11:00:00,2494.16,2495.55,2493.31,2493.7
2024.09.09,11:15:00,2493.71,2493.98,2489.97,2491.33
2024.09.09,11:30:00,2491.3,2492.57,2490.31,2491.29
2024.09.09,11:45:00,2491.3,2493.23,2490.9,2492.13
2024.09.09,12:00:00,2492.13,2495.28,2491.98,2495.22
2024.09.09,12:15:00,2495.21,2496.62,2494.84,2496.0
2024.09.09,12:30:00,2495.99,2497.52,2495.16,2495.78
2024.09.09,12:45:00,2495.78,2496.94,2495.76,2496.3
2024.09.09,13:00:00,2496.34,2499.03,2496.06,2496.51
2024.09.09,13:15:00,2496.52,2496.52,2494.13,2494.98
2024.09.09,13:30:00,2494.98,2494.98,2493.03,2494.41
2024.09.09,13:45:00,2494.4,2495.37,2493.89,2494.31
2024.09.09,14:00:00,2494.31,2495.55,2493.27,2495.36
2024.09.09,14:15:00,2495.36,2497.59,2494.74,2497.26
2024.09.09,14:30:00,2497.24,2498.16,2496.78,2498.12
2024.09.09,14:45:00,2498.07,2498.75,2496.24,2497.1
2024.09.09,15:00:00,2497.16,2498.83,2496.26,2498.78
2024.09.09,15:15:00,2498.79,2502.24,2497.94,2502.1
2024.09.09,15:30:00,2502.1,2504.02,2501.57,2502.72
2024.09.09,15:45:00,2502.75,2503.97,2500.48,2500.82
2024.09.09,16:00:00,2500.81,2504.99,2499.29,2503.92
2024.09.09,16:15:00,2503.95,2505.14,2500.02,2502.84
2024.09.09,16:30:00,2502.91,2503.71,2500.04,2501.6
2024.09.09,16:45:00,2501.61,2503.72,2499.22,2499.68
2024.09.09,17:00:00,2499.72,2500.17,2496.5,2498.49
2024.09.09,17:15:00,2498.5,2501.08,2495.83,2499.66
2024.09.09,17:30:00,2499.67,2499.95,2493.73,2494.12
2024.09.09,17:45:00,2494.17,2497.23,2493.17,2496.75
2024.09.09,18:00:00,2496.78,2497.88,2494.45,2494.77
2024.09.09,18:15:00,2494.71,2495.64,2493.51,2494.84
2024.09.09,18:30:00,2494.83,2497.63,2494.81,2497.0
2024.09.09,18:45:00,2497.0,2499.45,2496.97,2499.05
