datetime,type,price,size
2024-01-09 09:15:00,buy,2033.83,3
2024-01-09 09:15:00,buy,2033.83,3
2024-01-09 10:15:00,sell,2032.57,-3
2024-01-09 10:15:00,sell,2032.57,-3
2024-01-09 10:45:00,buy,2034.0999999999997,3
2024-01-09 10:45:00,buy,2034.0999999999997,3
2024-01-09 11:15:00,sell,2033.33,-3
2024-01-09 11:30:00,buy,2035.04,1
2024-01-09 11:30:00,buy,2035.04,1
2024-01-09 11:30:00,buy,2035.04,1
2024-01-09 12:15:00,sell,2036.21,-3
2024-01-09 12:15:00,sell,2036.21,-3
2024-01-09 12:30:00,buy,2037.6899999999998,3
2024-01-09 12:30:00,buy,2037.6899999999998,3
2024-01-09 13:00:00,sell,2035.41,-3
2024-01-09 13:00:00,sell,2035.41,-3
2024-01-09 13:00:00,sell,2035.41,-3
2024-01-09 14:15:00,buy,2035.3100000000002,6
2024-01-09 14:30:00,buy,2035.2,1
2024-01-09 14:30:00,buy,2035.2,1
2024-01-09 14:30:00,buy,2035.2,1
2024-01-09 14:45:00,sell,2034.9800000000002,-3
2024-01-09 15:00:00,buy,2036.26,1
2024-01-09 15:00:00,buy,2036.26,1
2024-01-09 15:00:00,buy,2036.26,1
2024-01-09 15:15:00,sell,2035.45,-3
2024-01-09 15:15:00,sell,2035.45,-3
2024-01-09 15:45:00,buy,2036.7699999999998,3
2024-01-09 15:45:00,buy,2036.7699999999998,3
2024-01-09 16:30:00,sell,2036.63,-3
2024-01-09 16:45:00,sell,2036.22,-1
2024-01-09 16:45:00,sell,2036.22,-1
2024-01-09 16:45:00,sell,2036.22,-1
2024-01-09 18:30:00,buy,2029.32,3
2024-01-09 18:30:00,buy,2029.32,3
2024-01-09 19:30:00,sell,2029.13,-3
2024-01-09 19:30:00,sell,2029.13,-3
2024-01-09 21:00:00,buy,2029.17,3
2024-01-09 21:15:00,buy,2029.01,1
2024-01-09 21:15:00,buy,2029.01,1
2024-01-09 21:15:00,buy,2029.01,1
2024-01-09 21:30:00,sell,2029.05,-3
2024-01-09 21:45:00,buy,2028.01,1
2024-01-09 21:45:00,buy,2028.01,1
2024-01-09 21:45:00,buy,2028.01,1
2024-01-09 22:00:00,sell,2028.8499999999997,-3
2024-01-09 22:00:00,sell,2028.8499999999997,-3
2024-01-09 22:00:00,sell,2028.8499999999997,-3
2024-01-09 22:15:00,buy,2030.0,6
2024-01-09 22:30:00,buy,2029.05,1
2024-01-09 22:30:00,buy,2029.05,1
2024-01-09 22:30:00,buy,2029.05,1
2024-01-09 22:45:00,sell,2029.49,-3
2024-01-09 22:45:00,sell,2029.49,-3
2024-01-09 22:45:00,sell,2029.49,-3
2024-01-09 23:45:00,buy,2029.78,6
2024-01-10 01:00:00,buy,2030.36,1
2024-01-10 01:00:00,buy,2030.36,1
2024-01-10 01:00:00,buy,2030.36,1
2024-01-10 01:30:00,sell,2029.59,-3
2024-01-10 01:45:00,buy,2030.13,1
2024-01-10 01:45:00,buy,2030.13,1
2024-01-10 01:45:00,buy,2030.13,1
2024-01-10 02:45:00,sell,2030.12,-3
2024-01-10 03:00:00,buy,2030.17,1
2024-01-10 03:00:00,buy,2030.17,1
2024-01-10 03:00:00,buy,2030.17,1
2024-01-10 03:15:00,sell,2028.09,-3
